[2022-05-09 07:34:21.860] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:21.860] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_1_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_1_16.avi
[2022-05-09 07:34:22.042] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:22.042] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_15_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_15_16.avi
[2022-05-09 07:34:22.256] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:22.256] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_7_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_7_16.avi
[2022-05-09 07:34:22.402] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:22.402] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_10_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_10_16.avi
[2022-05-09 07:34:22.515] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:22.515] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_0_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_0_16.avi
[2022-05-09 07:34:22.613] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:22.613] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_9_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_9_16.avi
[2022-05-09 07:34:22.711] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:22.711] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_8_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_8_16.avi
[2022-05-09 07:34:22.913] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
[2022-05-09 07:34:22.913] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide/1652079973592892_11_16.tar.gz -C /workdir/data/2022-05-09-07-06-13/camera_front_wide extract_video_11_16.avi
[2022-05-09 07:34:23.149] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
